customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,Yes,47,Yes,No,Fiber optic,Two year,Yes,Bank transfer (automatic),42.88,2006.37,No
CUST-00002,Female,0,No,No,65,Yes,No phone service,DSL,One year,No,Electronic check,112.21,7301.74,No
CUST-00003,Male,1,No,No,69,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,47.83,3308.62,Yes
CUST-00004,Male,0,Yes,No,27,Yes,No phone service,Fiber optic,One year,Yes,Bank transfer (automatic),95.55,2600.72,No
CUST-00005,Male,0,Yes,No,25,Yes,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),57.31,1460.68,No
CUST-00006,Female,0,Yes,No,24,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),31.93,757.61,No
CUST-00007,Male,1,No,No,11,Yes,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),19.07,164.2,No
CUST-00008,Male,0,No,No,4,Yes,No,No,Two year,Yes,Electronic check,72.43,228.78,No
CUST-00009,Male,0,No,Yes,47,Yes,Yes,DSL,Two year,Yes,Mailed check,115.58,5483.14,No
CUST-00010,Female,0,No,No,36,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),54.91,2015.27,No
CUST-00011,Male,0,Yes,Yes,43,Yes,No,Fiber optic,Month-to-month,No,Electronic check,53.72,2342.43,Yes
CUST-00012,Male,1,Yes,No,14,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),52.41,774.3,No
CUST-00013,Male,0,Yes,No,42,Yes,No,Fiber optic,Two year,Yes,Bank transfer (automatic),70.05,2934.02,No
CUST-00014,Male,0,Yes,Yes,47,Yes,No,Fiber optic,Two year,Yes,Bank transfer (automatic),62.07,2886.05,No
CUST-00015,Female,1,No,No,69,Yes,Yes,DSL,One year,Yes,Bank transfer (automatic),105.99,7264.29,No
CUST-00016,Male,0,No,No,45,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),68.55,3030.28,No
CUST-00017,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,One year,No,Electronic check,68.78,2949.37,No
CUST-00018,Female,0,Yes,No,20,Yes,Yes,Fiber optic,One year,Yes,Mailed check,31.84,612.14,No
CUST-00019,Female,0,No,No,22,Yes,Yes,No,Month-to-month,Yes,Mailed check,116.27,2610.68,Yes
CUST-00020,Male,0,Yes,Yes,46,Yes,Yes,No,Month-to-month,Yes,Mailed check,43.0,1968.66,No
CUST-00021,Female,0,No,No,14,Yes,No phone service,Fiber optic,One year,No,Mailed check,25.34,320.95,No
CUST-00022,Male,0,Yes,Yes,24,Yes,No,Fiber optic,One year,No,Electronic check,84.31,1968.72,No
CUST-00023,Female,1,Yes,No,35,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),77.54,2684.49,Yes
CUST-00024,Female,1,Yes,No,50,No,No phone service,No,Two year,Yes,Credit card (automatic),59.51,3046.41,No
CUST-00025,Female,0,Yes,No,14,No,No phone service,Fiber optic,Month-to-month,No,Electronic check,60.22,788.87,Yes
